celula	algoritmo	seed	migracao	cenario	inicio	fim	parede_s	cpu_usuario_s	cpu_sistema_s	pico_memoria_kb	codigo_saida	tentativas	trabalhador_pid	sha256_binario
az-anticorr-alta	best_fit	69	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:32-03:00	2026-08-07T13:39:00-03:00	27.71	27.28	0.34	108080	0	1	489146	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	70	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:34-03:00	2026-08-07T13:38:56-03:00	21.45	21.05	0.33	108452	0	1	489213	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	71	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:38-03:00	2026-08-07T13:38:59-03:00	20.62	20.19	0.32	108292	0	1	489313	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	52	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:40:40-03:00	2026-08-07T13:41:02-03:00	22.56	22.08	0.35	104088	0	1	492650	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	53	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:40:40-03:00	2026-08-07T13:40:56-03:00	15.80	15.44	0.33	106336	0	1	492674	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	54	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:40:43-03:00	2026-08-07T13:41:09-03:00	25.69	25.26	0.37	107816	0	1	492738	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	55	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:40:44-03:00	2026-08-07T13:40:59-03:00	15.03	14.58	0.31	105772	0	1	492764	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	56	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:40:46-03:00	2026-08-07T13:41:07-03:00	20.61	20.17	0.35	151964	0	1	492841	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	57	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:40:47-03:00	2026-08-07T13:41:04-03:00	16.90	16.58	0.29	106196	0	1	492869	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	58	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:40:48-03:00	2026-08-07T13:41:11-03:00	23.10	22.68	0.37	107180	0	1	492892	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
