celula,algoritmo,seed,git_sha,sha256_binario,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us
az-anticorr-alta,bfd,54,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.69555391877918,53219.51009673149,0,0.0,415.07916666666665,0,484,15167
az-anticorr-alta,bfd,55,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,145.7160078817021,53523.06536310281,0,0.0,417.12916666666666,0,594,16006
az-anticorr-alta,bfd,56,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,145.36117078248583,53379.50359920823,0,0.0,415.44166666666666,0,465,15136
az-anticorr-alta,bfd,57,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.39623899232737,52914.75495853581,0,0.0,413.3958333333333,0,572,14895
az-anticorr-alta,bfd,58,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.45645392637812,52877.92105413268,0,0.0,414.1625,0,421,17126
az-anticorr-alta,bfd,59,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,145.31945125729644,53258.45325330476,0,0.0,416.225,0,553,16732
az-anticorr-alta,bfd,60,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.99105204563242,52983.378863371,0,0.0,414.6458333333333,0,575,18341
az-anticorr-alta,bfd,61,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,145.49301900435225,53493.19425181358,0,0.0,416.275,0,581,16379
az-anticorr-alta,bfd,62,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.69131525307458,53180.26965599594,0,0.0,414.6458333333333,0,529,15195
az-anticorr-alta,bfd,63,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.62492122798167,53058.582657965446,0,0.0,414.6,0,521,18018
az-anticorr-alta,bfd,64,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,145.26384250311324,53479.02981245295,0,0.0,415.3541666666667,0,549,16822
az-anticorr-alta,bfd,65,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,145.18143261360623,53464.685976407076,0,0.0,416.17083333333335,0,473,15424
az-anticorr-alta,bfd,66,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.44736317588115,52980.321646742144,0,0.0,413.3,0,651,15596
az-anticorr-alta,bfd,67,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,145.70279798077644,53481.11466227214,0,0.0,416.85833333333335,0,583,15737
