celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us,fonte_carbono
az-em2021-alta,ffd,46,305e2b27726305e196eea090fabc312280b39e1f,144.8233222887908,66368.20212147769,0,0.0,399.2875,0,514,12175,em2021
az-em2021-alta,ffd,47,305e2b27726305e196eea090fabc312280b39e1f,144.5969279356623,66161.89438044238,0,0.0,398.3125,0,593,10961,em2021
az-em2021-alta,ffd,48,305e2b27726305e196eea090fabc312280b39e1f,144.90191833220206,66389.78099785087,0,0.0,398.47083333333336,0,447,12819,em2021
az-em2021-alta,ffd,49,305e2b27726305e196eea090fabc312280b39e1f,144.52600101777574,66196.98399894126,0,0.0,397.69166666666666,0,478,11137,em2021
az-em2021-alta,ffd,50,305e2b27726305e196eea090fabc312280b39e1f,144.36679376422407,66075.16282310976,0,0.0,397.975,0,534,12070,em2021
az-em2021-alta,ffd,51,305e2b27726305e196eea090fabc312280b39e1f,144.09746206134236,65908.69077846818,0,0.0,397.28333333333336,0,489,13429,em2021
az-em2021-alta,first_fit,42,305e2b27726305e196eea090fabc312280b39e1f,144.30610966042775,66157.78548465135,0,0.0,397.4583333333333,0,500,9405,em2021
az-em2021-alta,first_fit,43,305e2b27726305e196eea090fabc312280b39e1f,143.89049211235667,65926.3055670061,0,0.0,396.8833333333333,0,310,12301,em2021
az-em2021-alta,first_fit,44,305e2b27726305e196eea090fabc312280b39e1f,144.4565855595826,66221.6519217096,0,0.0,398.0,0,469,9818,em2021
az-em2021-alta,first_fit,45,305e2b27726305e196eea090fabc312280b39e1f,144.1778350617528,66088.07057892293,0,0.0,397.50416666666666,0,510,8741,em2021
az-em2021-alta,first_fit,46,305e2b27726305e196eea090fabc312280b39e1f,144.0352757661491,65941.61068568385,0,0.0,396.98333333333335,0,411,7205,em2021
