celula,algoritmo,total_gco2,gco2_por_vm,gco2_por_mips,vms_alocadas,demanda_admitida_mips
az-anticorr-alta,best_fit,52885.46138647304,5.548088921902829,0.0024563701905540285,9532.7,21530158.751255885
az-anticorr-alta,bfd,53243.60252195083,5.623678217633486,0.002403253076684768,9468.233333333334,22154857.75019734
az-anticorr-alta,cnemesis,48664.035258951255,5.0597502492951305,0.0022581954186612534,9618.2,21550345.09498872
az-anticorr-alta,ffd,52891.73254178553,5.575941566671485,0.002387430784758384,9486.1,22154319.382619847
az-anticorr-alta,first_fit,52847.748235157225,5.527484004195766,0.0024546736857574995,9561.233333333334,21529659.217165787
az-anticorr-alta,follow_renewables,43230.60697632542,4.465406157224717,0.0019934781301509043,9681.8,21687728.842735574
az-anticorr-alta,followme_s,48475.96910911208,5.060075304234317,0.0022523258780406514,9580.566666666668,21522956.25985279
az-anticorr-alta,lowest_carbon_dc,48892.10513126449,5.119163764896822,0.0022701490829005935,9551.366666666667,21537227.0707687
az-anticorr-alta,round_robin,57961.67689287794,6.0109039208623285,0.0027044334296329716,9643.0,21432764.624057535
az-anticorr-alta,worst_fit,55226.00865260796,5.7206516090397175,0.0026675333872531186,9654.066666666668,20703411.736081444
az-anticorr-alta,wsnb,49022.96746482879,5.126876970482043,0.0022755630122322157,9562.433333333332,21543450.251253612
az-em2021-alta,best_fit,66652.50168051374,6.978520701468241,0.0030933364264263538,9551.9,21547579.135879997
az-em2021-alta,bfd,67012.57307437257,7.068014825325866,0.0030260084760546442,9481.7,22145606.188059226
az-em2021-alta,cnemesis,63395.46690723869,6.5858306102762665,0.0029396291707947594,9626.5,21566723.091295175
az-em2021-alta,ffd,66199.04302152156,6.9816892664889085,0.0029902564514213787,9482.2,22138302.221412867
az-em2021-alta,first_fit,66082.94384648207,6.907876599441691,0.003068216531229145,9566.7,21538242.26237391
az-em2021-alta,follow_renewables,62180.41628277019,6.467599712789729,0.0028873162365069234,9614.5,21536173.608330276
az-em2021-alta,followme_s,63077.6971575442,6.573234123814437,0.002928354194983844,9596.6,21540680.347323567
az-em2021-alta,lowest_carbon_dc,63576.3220419753,6.646894831903488,0.002949125053442191,9565.6,21558138.897303157
az-em2021-alta,round_robin,73577.13628258526,7.629635288933175,0.0034301173565580733,9643.9,21451405.03907772
az-em2021-alta,worst_fit,69622.98436789928,7.208979386026388,0.0033643641767968856,9658.1,20694683.47372235
az-em2021-alta,wsnb,63625.65940085014,6.659787195160145,0.0029548007920641764,9554.1,21533302.09632909
az-flat-alta,best_fit,68571.89107494985,7.193726106356292,0.0031849620167562166,9532.7,21530158.751255885
az-flat-alta,bfd,68907.45120168896,7.2781142927300335,0.0031102732551873567,9468.233333333334,22154857.75019734
az-flat-alta,cnemesis,67487.50304957581,7.058896151137891,0.003135534186727318,9561.033333333333,21523668.959884975
az-flat-alta,ffd,68649.26532476116,7.237146863439718,0.003098696090056964,9486.1,22154319.382619847
az-flat-alta,first_fit,68530.71157282995,7.167810872623745,0.003183118364586658,9561.233333333334,21529659.217165787
az-flat-alta,follow_renewables,68593.86753662648,7.181711025795121,0.0031849422502357675,9551.7,21537182.14581237
az-flat-alta,followme_s,68180.92568415968,7.117709517979653,0.0031674188871201,9579.5,21525967.21909251
az-flat-alta,lowest_carbon_dc,68593.86753662648,7.181711025795121,0.0031849422502357675,9551.7,21537182.14581237
az-flat-alta,round_robin,75715.00973119844,7.852004069861277,0.0035327807846882,9643.0,21432764.624057535
az-flat-alta,worst_fit,71609.03241624888,7.417706349548014,0.0034588652126451023,9654.066666666668,20703411.736081444
az-flat-alta,wsnb,68593.86753662648,7.181711025795121,0.0031849422502357675,9551.7,21537182.14581237
az-realjan-alta,best_fit,64861.45340098077,6.804478691810062,0.003012624296203635,9532.7,21530158.751255885
az-realjan-alta,bfd,65153.78477414805,6.88165212808884,0.00294084377032819,9468.233333333334,22154857.75019734
az-realjan-alta,cnemesis,60405.75283766491,6.286074564195469,0.002803263007966186,9609.833333333334,21548663.6186924
az-realjan-alta,ffd,63479.19592045094,6.6921302289373354,0.0028653291721215082,9486.1,22154319.382619847
az-realjan-alta,first_fit,63529.90441490204,6.644784160763318,0.0029508417111805785,9561.233333333334,21529659.217165787
az-realjan-alta,follow_renewables,57076.9476750579,5.926657044314643,0.0026467015695780527,9631.166666666666,21566411.515121628
az-realjan-alta,followme_s,60041.752243196446,6.2672231754538155,0.002789230225237685,9580.766666666666,21526606.89840189
az-realjan-alta,lowest_carbon_dc,60512.66914617041,6.336210961942851,0.0028098812772809484,9550.866666666667,21535934.806477677
az-realjan-alta,round_robin,73079.97289238227,7.578739180767316,0.0034098325437012826,9643.0,21432764.624057535
az-realjan-alta,worst_fit,68673.78171325829,7.113654964868557,0.0033170844187232983,9654.066666666668,20703411.736081444
az-realjan-alta,wsnb,60543.64884915357,6.341682953701674,0.0028115069749189052,9547.433333333332,21534457.50428888
az-realjun-alta,best_fit,64861.45340098077,6.804478691810062,0.003012624296203635,9532.7,21530158.751255885
az-realjun-alta,bfd,65153.78477414805,6.88165212808884,0.00294084377032819,9468.233333333334,22154857.75019734
az-realjun-alta,cnemesis,60405.75283766491,6.286074564195469,0.002803263007966186,9609.833333333334,21548663.6186924
az-realjun-alta,ffd,63479.19592045094,6.6921302289373354,0.0028653291721215082,9486.1,22154319.382619847
az-realjun-alta,first_fit,63529.90441490204,6.644784160763318,0.0029508417111805785,9561.233333333334,21529659.217165787
az-realjun-alta,follow_renewables,57076.9476750579,5.926657044314643,0.0026467015695780527,9631.166666666666,21566411.515121628
az-realjun-alta,followme_s,60041.752243196446,6.2672231754538155,0.002789230225237685,9580.766666666666,21526606.89840189
az-realjun-alta,lowest_carbon_dc,60512.66914617041,6.336210961942851,0.0028098812772809484,9550.866666666667,21535934.806477677
az-realjun-alta,round_robin,73079.97289238227,7.578739180767316,0.0034098325437012826,9643.0,21432764.624057535
az-realjun-alta,worst_fit,68673.78171325829,7.113654964868557,0.0033170844187232983,9654.066666666668,20703411.736081444
az-realjun-alta,wsnb,60543.64884915357,6.341682953701674,0.0028115069749189052,9547.433333333332,21534457.50428888
geo3-go-realjun-folgada,best_fit,11924.162788317131,5.962081394158566,0.0010830201239900878,2000.0,11010102.697248
geo3-go-realjun-folgada,bfd,11732.433464412637,5.866216732206318,0.0010656061788910638,2000.0,11010102.697248
geo3-go-realjun-folgada,cnemesis,10265.70900696545,5.136194453079375,0.0009520140214653698,1998.7,10789102.697248
geo3-go-realjun-folgada,ffd,10103.05715423254,5.051528577116271,0.0009176169770657835,2000.0,11010102.697248
geo3-go-realjun-folgada,first_fit,10740.380254273405,5.386613147430182,0.001077227470570748,1993.9,9973102.697248
geo3-go-realjun-folgada,follow_renewables,9982.22137157376,4.994891151941128,0.0009289898403135723,1998.5,10755102.697248
geo3-go-realjun-folgada,followme_s,9456.964127946268,4.7420095091411465,0.000942392247004619,1994.3,10041102.697248
geo3-go-realjun-folgada,lowest_carbon_dc,9955.352406286847,4.9921301354459855,0.0009935360845240025,1994.2,10024102.697248
geo3-go-realjun-folgada,round_robin,16633.472267788227,8.399046221985028,0.0021670068883504817,1980.4,7678102.697248
geo3-go-realjun-folgada,worst_fit,10898.796527141109,5.546740998450022,0.0020521416587780013,1964.9,5310966.0736697
geo3-go-realjun-folgada,wsnb,9992.698882892044,5.011131838279317,0.000999034312749224,1994.1,10007102.697248
go-anticorr-alta,best_fit,53244.65186275858,6.007391815639155,0.0010314211281066093,8863.766666666666,51647460.9358219
go-anticorr-alta,bfd,52886.475490582015,6.396750986357565,0.0009898559210157662,8268.833333333334,53453785.50609926
go-anticorr-alta,cnemesis,49468.41697669573,5.573227090227653,0.001059029772206017,8876.2,46725853.45392214
go-anticorr-alta,ffd,53529.10303269381,6.224523072919159,0.0010314952751858302,8600.866666666667,51920907.36530137
go-anticorr-alta,first_fit,53240.17579991489,6.135193774014587,0.0012568027054350541,8678.233333333334,42377860.23769663
go-anticorr-alta,follow_renewables,48403.98367250452,5.440584957437655,0.0010226525210122006,8896.933333333332,47346399.30940684
go-anticorr-alta,followme_s,49068.3008220736,5.62106450605853,0.001126234232493122,8729.666666666666,43582678.4875828
go-anticorr-alta,lowest_carbon_dc,49593.39706885511,5.688890885623277,0.0011473394539875175,8717.933333333332,43239436.75030807
go-anticorr-alta,round_robin,59104.692391576915,6.646800711292856,0.001438243209592439,8892.2,41097775.91424227
go-anticorr-alta,worst_fit,52957.179601844444,6.06926990983309,0.0017926879434081611,8725.466666666667,29542354.0751048
go-anticorr-alta,wsnb,49864.16133655355,5.7006180627825636,0.0011309064680680564,8747.433333333332,44111001.44969893
go-anticorr-folgada,best_fit,10387.594983271469,5.193797491635735,0.0009434603172110166,2000.0,11010102.697248
go-anticorr-folgada,bfd,10472.460964216323,5.236230482108161,0.0009511683271432099,2000.0,11010102.697248
go-anticorr-folgada,cnemesis,4064.6642563337623,2.032332128166881,0.0003691758712977068,2000.0,11010102.697248
go-anticorr-folgada,ffd,5403.808846682578,2.701904423341289,0.0004908045815079701,2000.0,11010102.697248
go-anticorr-folgada,first_fit,7655.634372674404,3.827817186337202,0.0006953281529869787,2000.0,11010102.697248
go-anticorr-folgada,follow_renewables,4186.0340808452775,2.0930170404226387,0.00038019936743111267,2000.0,11010102.697248
go-anticorr-folgada,followme_s,3874.626033853885,1.9373130169269426,0.000351915521625639,2000.0,11010102.697248
go-anticorr-folgada,lowest_carbon_dc,4186.0340808452775,2.0930170404226387,0.00038019936743111267,2000.0,11010102.697248
go-anticorr-folgada,round_robin,49753.3042345804,24.925808999614574,0.004816816065422514,1996.0666666666666,10341436.030581333
go-anticorr-folgada,worst_fit,24225.979685715563,12.26776996597806,0.0035934680181609934,1974.7666666666667,6742306.8365777675
go-anticorr-folgada,wsnb,5907.074916949786,2.9535374584748926,0.0005365140616196316,2000.0,11010102.697248
go-em2021-alta,best_fit,66713.29079875423,7.5251078088286745,0.0012919654604835065,8865.6,51654126.5490309
go-em2021-alta,bfd,66535.26072266676,8.051460193858532,0.0012479627669992836,8264.9,53335161.233955905
go-em2021-alta,cnemesis,63572.187532289405,7.1641181551632895,0.0013693906810288605,8873.8,46430651.9924811
go-em2021-alta,ffd,66090.08696891842,7.700312301908591,0.0012778634234283798,8583.4,51734572.5474169
go-em2021-alta,first_fit,65903.52365654455,7.595857826958597,0.001560875637745756,8676.6,42231545.9603391
go-em2021-alta,follow_renewables,63004.18113071793,7.168501076299764,0.0014069490365019146,8789.2,44791296.881640896
go-em2021-alta,followme_s,63088.84400354681,7.234966336204605,0.001453681997474485,8720.2,43413083.972837195
go-em2021-alta,lowest_carbon_dc,63715.576552982,7.322728748989138,0.0014822250379086328,8701.3,42997320.9228388
go-em2021-alta,round_robin,75187.76838250467,8.455283847147843,0.0018283573069366944,8892.4,41125509.267609596
