celula,regime,algoritmo,execucoes,execucoes_sem_migracao,denominador_das_medias,migracoes_media,frac_intra_media,frac_intra_min,frac_intra_max,execucoes_100pct_intra,execucoes_0pct_intra,max_migracoes_por_vm,vms_com_mais_de_2_migracoes_media
net100-az-realjun-alta,alta,follow_renewables,10,0,10,2851.2,0.0,0.0,0.0,0,10,2,0.0
net100-az-realjun-folgada,moderada,follow_renewables,10,10,0,0.0,,,,0,0,0,0.0
net100-go-realjun-folgada,moderada,follow_renewables,10,10,0,0.0,,,,0,0,0,0.0
pue-az-realjun-folgada,moderada,follow_renewables,10,10,0,0.0,,,,0,0,0,0.0
pue-go-realjun-folgada,moderada,follow_renewables,10,10,0,0.0,,,,0,0,0,0.0
az-anticorr-alta,alta,followme_s,30,0,30,1083.7666666666667,0.16596423237562552,0.12792792792792793,0.2007366482504604,0,0,7,29.533333333333335
az-anticorr-folgada,moderada,followme_s,30,0,30,814.7666666666667,0.5407965173060879,0.37555886736214605,0.619625137816979,0,0,15,99.66666666666667
az-em2021-alta,alta,followme_s,10,0,10,1062.3,0.17515089289387437,0.13653136531365315,0.22232734153263956,0,0,6,26.1
az-em2021-folgada,moderada,followme_s,10,0,10,940.9,0.6987624310351463,0.6471935853379153,0.7527862208713273,0,0,20,114.3
az-flat-alta,alta,followme_s,30,0,30,1064.9666666666667,0.1727626432667935,0.09825528007346189,0.26709796672828096,0,0,10,26.766666666666666
az-flat-folgada,moderada,followme_s,30,0,30,934.1666666666666,0.6896097835415973,0.6103286384976526,0.7527862208713273,0,0,20,117.93333333333334
az-realjan-alta,alta,followme_s,30,0,30,1068.7666666666667,0.17212535498789214,0.12157221206581353,0.23479087452471484,0,0,7,27.0
az-realjan-folgada,moderada,followme_s,30,0,30,934.5,0.6899082882767719,0.6103286384976526,0.7527862208713273,0,0,20,117.83333333333333
az-realjun-alta,alta,followme_s,30,0,30,1068.7666666666667,0.17212535498789214,0.12157221206581353,0.23479087452471484,0,0,7,27.0
az-realjun-folgada,moderada,followme_s,30,0,30,934.5,0.6899082882767719,0.6103286384976526,0.7527862208713273,0,0,20,117.83333333333333
geo3-az-realjun-folgada,moderada,followme_s,10,0,10,939.4,0.6970390117693271,0.6467889908256881,0.7527862208713273,0,0,20,114.3
geo3-go-realjun-folgada,moderada,followme_s,10,0,10,1138.3,0.9373917052597307,0.8830570902394107,0.9669565217391304,0,0,21,133.9
go-anticorr-alta,alta,followme_s,30,0,30,1028.9666666666667,0.29974229667296914,0.20842572062084258,0.3939105613701237,0,0,13,86.16666666666667
go-anticorr-folgada,moderada,followme_s,30,0,30,826.1333333333333,0.7494912790353101,0.6232339089481946,0.831140350877193,0,0,15,102.26666666666667
go-em2021-alta,alta,followme_s,10,0,10,1029.7,0.33095296443232586,0.27586206896551724,0.39134615384615384,0,0,12,91.3
go-em2021-folgada,moderada,followme_s,10,0,10,1138.3,0.9381128425944976,0.8868445262189513,0.9669565217391304,0,0,21,133.7
go-flat-alta,alta,followme_s,30,0,30,1035.2333333333333,0.3273297395474016,0.27586206896551724,0.3919308357348703,0,0,13,90.06666666666666
go-flat-folgada,moderada,followme_s,30,0,30,1105.5333333333333,0.9238528267832885,0.8589341692789969,0.9721739130434782,0,0,21,129.56666666666666
go-realjan-alta,alta,followme_s,30,0,30,1039.1,0.3327937987907768,0.28309178743961355,0.3893719806763285,0,0,13,87.5
go-realjan-folgada,moderada,followme_s,30,0,30,1105.5666666666666,0.923854494647785,0.8589341692789969,0.9721739130434782,0,0,21,129.6
go-realjun-alta,alta,followme_s,30,0,30,1039.1,0.3327937987907768,0.28309178743961355,0.3893719806763285,0,0,13,87.5
go-realjun-folgada,moderada,followme_s,30,0,30,1105.5666666666666,0.923854494647785,0.8589341692789969,0.9721739130434782,0,0,21,129.6
hetcap-az-anticorr-folgada,moderada,followme_s,10,0,10,788.8,0.5462088661792154,0.48644986449864497,0.5870069605568445,0,0,15,94.4
hetcap-az-realjun-folgada,moderada,followme_s,10,0,10,976.4,0.5157161700282236,0.43473325766174803,0.5678294573643411,0,0,11,128.4
net100-az-anticorr-folgada,moderada,followme_s,10,0,10,366.3,0.311809804388273,0.18731117824773413,0.4244604316546763,0,0,10,18.3
net100-az-realjun-alta,alta,followme_s,10,0,10,743.9,0.13583204070107657,0.1065989847715736,0.18694362017804153,0,0,5,3.2
net100-az-realjun-folgada,moderada,followme_s,10,0,10,434.3,0.4641028195435992,0.34408602150537637,0.589098532494759,0,0,18,23.6
net100-go-realjun-folgada,moderada,followme_s,10,0,10,1006.5,0.9313565234331829,0.8569620253164557,0.9690909090909091,0,0,21,112.7
pue-az-realjun-folgada,moderada,followme_s,10,0,10,940.9,0.6987624310351463,0.6471935853379153,0.7527862208713273,0,0,20,114.3
pue-go-realjun-folgada,moderada,followme_s,10,0,10,1138.3,0.9381128425944976,0.8868445262189513,0.9669565217391304,0,0,21,133.7
