celula,regime,algoritmo,seed,migracoes,intra_dc,inter_dc,frac_intra,vms_migradas,vms_com_mais_de_2_migracoes,max_migracoes_por_vm
az-anticorr-alta,alta,followme_s,57,1089,172,917,0.15794306703397612,893,23,5
az-anticorr-alta,alta,followme_s,58,1110,142,968,0.12792792792792793,958,19,5
az-anticorr-alta,alta,followme_s,59,1086,218,868,0.2007366482504604,889,31,4
az-anticorr-alta,alta,followme_s,60,1058,140,918,0.1323251417769376,872,25,5
az-anticorr-alta,alta,followme_s,61,1093,199,894,0.18206770356816102,904,23,4
az-anticorr-alta,alta,followme_s,62,1087,178,909,0.16375344986200552,900,29,5
az-anticorr-alta,alta,followme_s,63,1077,151,926,0.14020427112349118,899,23,4
az-anticorr-alta,alta,followme_s,64,1115,170,945,0.15246636771300448,933,31,4
az-anticorr-alta,alta,followme_s,65,1069,187,882,0.17492984097287184,884,34,5
az-anticorr-alta,alta,followme_s,66,1065,198,867,0.18591549295774648,852,37,5
az-anticorr-alta,alta,followme_s,67,1087,218,869,0.20055197792088317,898,25,5
az-anticorr-alta,alta,followme_s,68,1111,186,925,0.16741674167416742,918,30,5
az-anticorr-alta,alta,followme_s,69,1067,166,901,0.15557638238050608,902,30,5
az-anticorr-alta,alta,followme_s,70,1101,182,919,0.16530426884650318,921,29,5
az-anticorr-alta,alta,followme_s,71,1087,195,892,0.17939282428702852,883,35,5
az-anticorr-folgada,moderada,cnemesis,42,460,460,0,1.0,138,66,11
az-anticorr-folgada,moderada,cnemesis,43,460,460,0,1.0,121,59,13
az-anticorr-folgada,moderada,cnemesis,44,460,460,0,1.0,129,66,14
az-anticorr-folgada,moderada,cnemesis,45,460,460,0,1.0,137,66,13
az-anticorr-folgada,moderada,cnemesis,46,460,460,0,1.0,109,49,17
az-anticorr-folgada,moderada,cnemesis,47,460,460,0,1.0,134,72,13
az-anticorr-folgada,moderada,cnemesis,48,460,460,0,1.0,113,51,20
az-anticorr-folgada,moderada,cnemesis,49,460,460,0,1.0,117,55,19
