celula,algoritmo,redundante_por_construcao,cv_pct_10_seeds,cv_pct_20_novas,cv_pct_30_seeds,delta_cv_pp_30_menos_10,delta_cv_pp_20_menos_10
az-anticorr-alta,best_fit,False,0.2913925788382917,0.37666320041966844,0.3654089380300445,0.07401635919175276,0.08527062158137672
az-anticorr-alta,bfd,False,0.3631195889404706,0.4171317342113818,0.39392270929976364,0.030803120359293057,0.054012145270911194
az-anticorr-alta,cnemesis,False,0.21714983605534738,0.30037319351238745,0.2800165685385798,0.06286673248323243,0.08322335745704007
az-anticorr-alta,ffd,False,0.12159474152659858,0.17024104268584045,0.15356203056785606,0.03196728904125748,0.04864630115924187
az-anticorr-alta,first_fit,False,0.14658876975451887,0.18318341525082993,0.17275727853306,0.026168508778541127,0.03659464549631106
az-anticorr-alta,follow_renewables,False,1.3755084765825398,1.311997869774712,1.3126602964738137,-0.06284818010872617,-0.06351060680782794
az-anticorr-alta,followme_s,False,0.4105523057736093,0.43600272792147593,0.43268319473614403,0.022130888962534734,0.025450422147866636
az-anticorr-alta,lowest_carbon_dc,False,0.2877976527795358,0.34849517795218415,0.3278602794300507,0.04006262665051491,0.06069752517264837
az-anticorr-alta,round_robin,False,0.10840527447502088,0.0902515958064443,0.09803432336840917,-0.010370951106611709,-0.018153678668576576
az-anticorr-alta,worst_fit,False,0.31324716365095817,0.3051166790160193,0.3053716678998726,-0.007875495751085593,-0.008130484634938873
az-anticorr-alta,wsnb,False,0.2795581958100311,0.32355427133929904,0.3064922857757395,0.026934089965708397,0.04399607552926793
az-anticorr-folgada,best_fit,False,1.2851709399138955,2.0821807533218943,1.8345832202089225,0.549412280295027,0.7970098134079988
az-anticorr-folgada,bfd,False,1.0564379083759095,1.2206162529874371,1.2098081658089648,0.15337025743305532,0.1641783446115277
az-anticorr-folgada,cnemesis,False,2.139622917134172,2.926335106200181,2.652398837106623,0.5127759199724511,0.7867121890660091
az-anticorr-folgada,ffd,False,2.3704495084857466,1.8675747317462075,2.007529614431536,-0.36291989405421043,-0.5028747767395392
az-anticorr-folgada,first_fit,False,3.5687493196500926,2.3854028870137682,2.8364921697374093,-0.7322571499126833,-1.1833464326363243
az-anticorr-folgada,follow_renewables,False,1.7252913461151322,1.7741431410350004,1.7303058285527944,0.0050144824376621155,0.04885179491986813
az-anticorr-folgada,followme_s,False,2.7350598459763478,2.9133439738044484,2.82136207457309,0.0863022285967423,0.17828412782810066
