celula,algoritmo,n_seeds,categoria,dif_gco2,dif_gco2_pct,dif_kwh,dif_kwh_pct,gib_migrados,gco2_por_gib,degenerado_por_construcao,p_bruto,p_holm3,significativo_gco2,recorte
az-anticorr-alta,cnemesis,30,vence_ambos,-228.0698723132339,-0.46647586906089805,-0.20186867230121663,-0.13954352684862897,5579.892992147058,0.04087352080661964,False,1.862645149230957e-08,1.862645149230957e-08,True,campanha_completa
az-anticorr-alta,follow_renewables,30,vence_ambos,-5661.498154939071,-11.579575352174347,-6.535190234392725,-4.5175087522898565,23191.92795013711,0.2441150286044072,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-anticorr-alta,followme_s,30,vence_ambos,-416.13602215241116,-0.8511313248533237,-0.7657744273310745,-0.5293484280751534,8843.179191539715,0.04705728710671488,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-anticorr-folgada,cnemesis,30,vence_ambos,-456.3127511477716,-7.143445401256097,-1.3055687998627268,-2.7356837523955786,3680.5369684180864,0.12397993962927023,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-anticorr-folgada,follow_renewables,30,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
az-anticorr-folgada,followme_s,30,vence_ambos,-841.8422013581264,-13.178798503326428,-1.8882449585025987,-3.956621094239967,6557.329349185247,0.12838186958883283,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-em2021-alta,cnemesis,10,vence_ambos,-180.85513473660393,-0.2844693258870764,-0.21839885937577605,-0.15200854873362177,5598.812940403912,0.03230240707480336,False,0.005859375,0.005859375,True,campanha_completa
az-em2021-alta,follow_renewables,10,vence_ambos,-1395.9057592051067,-2.195637800946524,-1.9976144501257296,-1.3903665722468703,21167.299605087283,0.06594633161754933,False,0.001953125,0.005859375,True,campanha_completa
az-em2021-alta,followme_s,10,vence_ambos,-498.6248844310976,-0.7842933790694718,-0.9414311059806039,-0.6552487341821382,8762.688467117585,0.05690318516996373,False,0.001953125,0.005859375,True,campanha_completa
az-em2021-folgada,cnemesis,10,vence_ambos,-48.801841353202505,-0.5867106345272652,-2.493985232747698,-5.803538393922149,3680.531294562295,0.01325945561862319,False,0.001953125,0.005859375,True,campanha_completa
