celula_i,celula_j,tau_b,p_nao_corrigido
az-realjun-folgada,az-realjun-alta,0.9174698042719671,9.448129391490142e-05
az-realjun-folgada,az-flat-folgada,0.4151682458530184,0.08236098834907706
az-realjun-folgada,az-flat-alta,0.6793662204867574,0.004474629307395965
az-realjun-folgada,az-anticorr-folgada,0.9259259259259258,8.999895879346697e-05
az-realjun-folgada,az-anticorr-alta,0.8440722199302099,0.0003281542287518693
az-realjun-folgada,go-realjun-folgada,0.9259259259259258,8.999895879346697e-05
az-realjun-folgada,go-realjun-alta,0.8440722199302099,0.0003281542287518693
az-realjun-folgada,go-flat-folgada,0.7171087882915774,0.002695111117322818
az-realjun-folgada,go-flat-alta,0.3396831102433787,0.15522863417295543
az-realjun-folgada,go-anticorr-folgada,0.9259259259259258,8.999895879346697e-05
az-realjun-folgada,go-anticorr-alta,0.587180674734059,0.01246215829454031
az-realjun-folgada,net100-az-realjun-folgada,0.9629629629629629,4.6465836804030796e-05
az-realjun-folgada,net100-go-realjun-folgada,0.9259259259259258,8.999895879346697e-05
az-realjun-folgada,net100-az-anticorr-folgada,0.7777777777777777,0.0010036183650044851
az-realjun-folgada,net100-az-realjun-alta,0.9541685964428458,4.896400204355126e-05
az-realjun-folgada,geo3-az-realjun-folgada,0.697277051246695,0.0030042622393982835
az-realjun-folgada,geo3-go-realjun-folgada,0.697277051246695,0.0030042622393982835
az-realjun-folgada,hetcap-az-realjun-folgada,0.8440722199302099,0.0003281542287518693
az-realjun-folgada,hetcap-az-anticorr-folgada,0.9999999999999999,2.3434607292951027e-05
az-realjun-folgada,pue-az-realjun-folgada,0.9999999999999999,2.3434607292951027e-05
az-realjun-folgada,pue-go-realjun-folgada,0.9259259259259258,8.999895879346697e-05
az-realjun-alta,az-flat-folgada,0.3365809164030446,0.1564441982736493
az-realjun-alta,az-flat-alta,0.5983660736054126,0.011757284886714786
az-realjun-alta,az-anticorr-folgada,0.8440722199302098,0.0003281542287518693
az-realjun-alta,az-anticorr-alta,0.9272727272727274,3.2567740901074234e-06
az-realjun-alta,go-realjun-folgada,0.8440722199302098,0.0003281542287518693
az-realjun-alta,go-realjun-alta,0.9272727272727274,3.2567740901074234e-06
az-realjun-alta,go-flat-folgada,0.6357639532057509,0.007432770429930747
az-realjun-alta,go-flat-alta,0.261785157202368,0.2703685816257839
az-realjun-alta,go-anticorr-folgada,0.8440722199302098,0.0003281542287518693
az-realjun-alta,go-anticorr-alta,0.6727272727272727,0.0031063111271444604
az-realjun-alta,net100-az-realjun-folgada,0.8807710121010884,0.0001781293054554629
az-realjun-alta,net100-go-realjun-folgada,0.8440722199302098,0.0003281542287518693
az-realjun-alta,net100-az-anticorr-folgada,0.7706746355884524,0.0010393630991335228
az-realjun-alta,net100-az-realjun-alta,0.9636363636363636,5.511463844797178e-07
az-realjun-alta,geo3-az-realjun-folgada,0.6363636363636364,0.005707170915504249
az-realjun-alta,geo3-go-realjun-folgada,0.6727272727272727,0.0031063111271444604
az-realjun-alta,hetcap-az-realjun-folgada,0.9272727272727274,3.2567740901074234e-06
az-realjun-alta,hetcap-az-anticorr-folgada,0.9174698042719671,9.448129391490142e-05
az-realjun-alta,pue-az-realjun-folgada,0.9174698042719671,9.448129391490142e-05
az-realjun-alta,pue-go-realjun-folgada,0.8440722199302098,0.0003281542287518693
az-flat-folgada,az-flat-alta,0.6538461538461539,0.006803470965228415
az-flat-folgada,az-anticorr-folgada,0.4151682458530184,0.08236098834907706
az-flat-folgada,az-anticorr-alta,0.3365809164030446,0.1564441982736493
az-flat-folgada,go-realjun-folgada,0.33968311024337877,0.15522863417295543
az-flat-folgada,go-realjun-alta,0.2991830368027063,0.20778723575142055
az-flat-folgada,go-flat-folgada,0.3846153846153847,0.11139608921819043
az-flat-folgada,go-flat-alta,0.3076923076923077,0.20281958469792438
az-flat-folgada,go-anticorr-folgada,0.4151682458530184,0.08236098834907706
az-flat-folgada,go-anticorr-alta,0.07479575920067658,0.7528236648962049
az-flat-folgada,net100-az-realjun-folgada,0.3774256780481986,0.11428427973493568
az-flat-folgada,net100-go-realjun-folgada,0.33968311024337877,0.15522863417295543
az-flat-folgada,net100-az-anticorr-folgada,0.264197974633739,0.26896116512556245
az-flat-folgada,net100-az-realjun-alta,0.3739787960033829,0.11535073302213321
az-flat-folgada,geo3-az-realjun-folgada,0.6731618328060892,0.004593123212126663
az-flat-folgada,geo3-go-realjun-folgada,0.11219363880101486,0.6366573664363878
az-flat-folgada,hetcap-az-realjun-folgada,0.2991830368027063,0.20778723575142055
az-flat-folgada,hetcap-az-anticorr-folgada,0.4151682458530184,0.08236098834907706
az-flat-folgada,pue-az-realjun-folgada,0.4151682458530184,0.08236098834907706
az-flat-folgada,pue-go-realjun-folgada,0.33968311024337877,0.15522863417295543
az-flat-alta,az-anticorr-folgada,0.6793662204867575,0.004474629307395965
az-flat-alta,az-anticorr-alta,0.5983660736054126,0.011757284886714786
az-flat-alta,go-realjun-folgada,0.6038810848771178,0.01151197352047887
az-flat-alta,go-realjun-alta,0.5609681940050744,0.018182160586921
az-flat-alta,go-flat-folgada,0.42307692307692313,0.07992106263961778
az-flat-alta,go-flat-alta,0.2692307692307693,0.2651228319252248
az-flat-alta,go-anticorr-folgada,0.6038810848771178,0.01151197352047887
az-flat-alta,go-anticorr-alta,0.3365809164030446,0.1564441982736493
az-flat-alta,net100-az-realjun-folgada,0.7171087882915773,0.002695111117322818
az-flat-alta,net100-go-realjun-folgada,0.6038810848771178,0.01151197352047887
az-flat-alta,net100-az-anticorr-folgada,0.6038810848771178,0.01151197352047887
az-flat-alta,net100-az-realjun-alta,0.6357639532057509,0.007432770429930747
az-flat-alta,geo3-az-realjun-folgada,0.7853554716071041,0.0009442132801877965
az-flat-alta,geo3-go-realjun-folgada,0.3739787960033829,0.11535073302213321
az-flat-alta,hetcap-az-realjun-folgada,0.6357639532057509,0.007432770429930747
az-flat-alta,hetcap-az-anticorr-folgada,0.6793662204867575,0.004474629307395965
az-flat-alta,pue-az-realjun-folgada,0.6793662204867575,0.004474629307395965
az-flat-alta,pue-go-realjun-folgada,0.6038810848771178,0.01151197352047887
az-anticorr-folgada,az-anticorr-alta,0.7706746355884524,0.0010393630991335228
az-anticorr-folgada,go-realjun-folgada,0.8518518518518519,0.0003148112129061931
az-anticorr-folgada,go-realjun-alta,0.8440722199302099,0.0003281542287518693
az-anticorr-folgada,go-flat-folgada,0.7171087882915774,0.002695111117322818
az-anticorr-folgada,go-flat-alta,0.3396831102433787,0.15522863417295543
az-anticorr-folgada,go-anticorr-folgada,0.8518518518518519,0.0003148112129061931
az-anticorr-folgada,go-anticorr-alta,0.5137830903923016,0.028783965875738362
az-anticorr-folgada,net100-az-realjun-folgada,0.8888888888888888,0.00017029377577951654
