celula_i,celula_j,tau_b,p_nao_corrigido
az-anticorr-alta,az-anticorr-folgada,0.8073734277593311,0.0005907573118657001
az-anticorr-alta,az-em2021-alta,0.9636363636363636,5.511463844797178e-07
az-anticorr-alta,az-em2021-folgada,0.8181818181818182,0.00013227513227513228
az-anticorr-alta,az-flat-alta,0.6357639532057509,0.007432770429930747
az-anticorr-alta,az-flat-folgada,0.37397879600338285,0.11535073302213321
az-anticorr-alta,az-realjan-alta,0.9272727272727274,3.2567740901074234e-06
az-anticorr-alta,az-realjan-folgada,0.8440722199302098,0.0003281542287518693
az-anticorr-alta,az-realjun-alta,0.9272727272727274,3.2567740901074234e-06
az-anticorr-alta,az-realjun-folgada,0.8440722199302098,0.0003281542287518693
az-anticorr-alta,geo3-az-realjun-folgada,0.6727272727272727,0.0031063111271444604
az-anticorr-alta,geo3-go-realjun-folgada,0.6363636363636364,0.005707170915504249
az-anticorr-alta,go-anticorr-alta,0.7818181818181819,0.0003334435626102293
az-anticorr-alta,go-anticorr-folgada,0.8073734277593311,0.0005907573118657001
az-anticorr-alta,go-em2021-alta,0.8545454545454545,4.624619207952541e-05
az-anticorr-alta,go-em2021-folgada,0.7818181818181819,0.0003334435626102293
az-anticorr-alta,go-flat-alta,0.5983660736054126,0.011757284886714786
az-anticorr-alta,go-flat-folgada,0.3365809164030446,0.1564441982736493
az-anticorr-alta,go-realjan-alta,0.9272727272727274,3.2567740901074234e-06
az-anticorr-alta,go-realjan-folgada,0.8073734277593311,0.0005907573118657001
az-anticorr-alta,go-realjun-alta,0.9272727272727274,3.2567740901074234e-06
az-anticorr-alta,go-realjun-folgada,0.8073734277593311,0.0005907573118657001
az-anticorr-alta,hetcap-az-anticorr-folgada,0.8807710121010884,0.0001781293054554629
az-anticorr-alta,hetcap-az-realjun-folgada,0.8909090909090909,1.3728555395222063e-05
az-anticorr-alta,net100-az-anticorr-folgada,0.7339758434175737,0.0017872890369872662
az-anticorr-alta,net100-az-realjun-alta,0.9272727272727274,3.2567740901074234e-06
az-anticorr-alta,net100-az-realjun-folgada,0.8440722199302098,0.0003281542287518693
az-anticorr-alta,net100-go-realjun-folgada,0.8073734277593311,0.0005907573118657001
az-anticorr-alta,pue-az-realjun-folgada,0.8807710121010884,0.0001781293054554629
az-anticorr-alta,pue-go-realjun-folgada,0.8073734277593311,0.0005907573118657001
az-anticorr-folgada,az-em2021-alta,0.8440722199302099,0.0003281542287518693
az-anticorr-folgada,az-em2021-folgada,0.8440722199302099,0.0003281542287518693
az-anticorr-folgada,az-flat-alta,0.6793662204867574,0.004474629307395965
az-anticorr-folgada,az-flat-folgada,0.4151682458530184,0.08236098834907706
az-anticorr-folgada,az-realjan-alta,0.8073734277593311,0.0005907573118657001
az-anticorr-folgada,az-realjan-folgada,0.8888888888888888,0.00017029377577951654
az-anticorr-folgada,az-realjun-alta,0.8073734277593311,0.0005907573118657001
az-anticorr-folgada,az-realjun-folgada,0.8888888888888888,0.00017029377577951654
az-anticorr-folgada,geo3-az-realjun-folgada,0.697277051246695,0.0030042622393982835
az-anticorr-folgada,geo3-go-realjun-folgada,0.6238794669049377,0.007931923532795267
az-anticorr-folgada,go-anticorr-alta,0.587180674734059,0.01246215829454031
az-anticorr-folgada,go-anticorr-folgada,0.8518518518518519,0.0003148112129061931
az-anticorr-folgada,go-em2021-alta,0.7339758434175737,0.0017872890369872662
az-anticorr-folgada,go-em2021-folgada,0.6605782590758164,0.004936818556325078
az-anticorr-folgada,go-flat-alta,0.7171087882915774,0.002695111117322818
az-anticorr-folgada,go-flat-folgada,0.4529108136578383,0.05808300519141954
az-anticorr-folgada,go-realjan-alta,0.8073734277593311,0.0005907573118657001
az-anticorr-folgada,go-realjan-folgada,0.8518518518518519,0.0003148112129061931
az-anticorr-folgada,go-realjun-alta,0.8073734277593311,0.0005907573118657001
az-anticorr-folgada,go-realjun-folgada,0.8518518518518519,0.0003148112129061931
az-anticorr-folgada,hetcap-az-anticorr-folgada,0.9259259259259258,8.999895879346697e-05
az-anticorr-folgada,hetcap-az-realjun-folgada,0.8440722199302099,0.0003281542287518693
az-anticorr-folgada,net100-az-anticorr-folgada,0.8518518518518519,0.0003148112129061931
az-anticorr-folgada,net100-az-realjun-alta,0.8807710121010884,0.0001781293054554629
az-anticorr-folgada,net100-az-realjun-folgada,0.8888888888888888,0.00017029377577951654
az-anticorr-folgada,net100-go-realjun-folgada,0.8518518518518519,0.0003148112129061931
az-anticorr-folgada,pue-az-realjun-folgada,0.9259259259259258,8.999895879346697e-05
az-anticorr-folgada,pue-go-realjun-folgada,0.8518518518518519,0.0003148112129061931
az-em2021-alta,az-em2021-folgada,0.8545454545454545,4.624619207952541e-05
az-em2021-alta,az-flat-alta,0.5983660736054126,0.011757284886714786
az-em2021-alta,az-flat-folgada,0.3365809164030446,0.1564441982736493
az-em2021-alta,az-realjan-alta,0.9636363636363636,5.511463844797178e-07
az-em2021-alta,az-realjan-folgada,0.8807710121010884,0.0001781293054554629
az-em2021-alta,az-realjun-alta,0.9636363636363636,5.511463844797178e-07
az-em2021-alta,az-realjun-folgada,0.8807710121010884,0.0001781293054554629
az-em2021-alta,geo3-az-realjun-folgada,0.6363636363636364,0.005707170915504249
az-em2021-alta,geo3-go-realjun-folgada,0.6727272727272727,0.0031063111271444604
az-em2021-alta,go-anticorr-alta,0.7454545454545454,0.000759529822029822
az-em2021-alta,go-anticorr-folgada,0.8440722199302098,0.0003281542287518693
az-em2021-alta,go-em2021-alta,0.8909090909090909,1.3728555395222063e-05
az-em2021-alta,go-em2021-folgada,0.8181818181818182,0.00013227513227513228
az-em2021-alta,go-flat-alta,0.6357639532057509,0.007432770429930747
az-em2021-alta,go-flat-folgada,0.37397879600338285,0.11535073302213321
az-em2021-alta,go-realjan-alta,0.9636363636363636,5.511463844797178e-07
az-em2021-alta,go-realjan-folgada,0.8440722199302098,0.0003281542287518693
az-em2021-alta,go-realjun-alta,0.9636363636363636,5.511463844797178e-07
az-em2021-alta,go-realjun-folgada,0.8440722199302098,0.0003281542287518693
az-em2021-alta,hetcap-az-anticorr-folgada,0.9174698042719671,9.448129391490142e-05
az-em2021-alta,hetcap-az-realjun-folgada,0.9272727272727274,3.2567740901074234e-06
az-em2021-alta,net100-az-anticorr-folgada,0.7706746355884524,0.0010393630991335228
az-em2021-alta,net100-az-realjun-alta,0.9636363636363636,5.511463844797178e-07
az-em2021-alta,net100-az-realjun-folgada,0.8807710121010884,0.0001781293054554629
az-em2021-alta,net100-go-realjun-folgada,0.8440722199302098,0.0003281542287518693
az-em2021-alta,pue-az-realjun-folgada,0.9174698042719671,9.448129391490142e-05
az-em2021-alta,pue-go-realjun-folgada,0.8440722199302098,0.0003281542287518693
az-em2021-folgada,az-flat-alta,0.5609681940050744,0.018182160586921
az-em2021-folgada,az-flat-folgada,0.2991830368027063,0.20778723575142055
