celula,algoritmo,atendimento_pct,posto_total,posto_por_vm,posto_difere
az-realjun-alta,cnemesis,96.09833333333334,3.0,3.0,False
az-realjun-alta,ffd,94.861,6.0,7.0,True
az-realjun-alta,first_fit,95.61233333333334,7.0,6.0,True
az-realjun-alta,follow_renewables,96.31166666666667,1.0,1.0,False
az-realjun-alta,followme_s,95.80766666666666,2.0,2.0,False
az-realjun-alta,lowest_carbon_dc,95.50866666666666,4.0,4.0,False
az-realjun-alta,round_robin,96.43,11.0,11.0,False
az-realjun-alta,worst_fit,96.54066666666668,10.0,10.0,False
az-realjun-alta,wsnb,95.47433333333332,5.0,5.0,False
az-realjun-folgada,best_fit,100.0,9.0,9.0,False
az-realjun-folgada,bfd,100.0,8.0,8.0,False
az-realjun-folgada,cnemesis,100.0,2.0,2.0,False
az-realjun-folgada,ffd,100.0,7.0,7.0,False
az-realjun-folgada,first_fit,100.0,6.0,6.0,False
az-realjun-folgada,follow_renewables,100.0,3.5,3.5,False
az-realjun-folgada,followme_s,100.0,1.0,1.0,False
az-realjun-folgada,lowest_carbon_dc,100.0,3.5,3.5,False
az-realjun-folgada,round_robin,100.0,11.0,11.0,False
az-realjun-folgada,worst_fit,100.0,10.0,10.0,False
az-realjun-folgada,wsnb,100.0,5.0,5.0,False
geo3-az-realjun-folgada,best_fit,100.0,5.0,5.0,False
geo3-az-realjun-folgada,bfd,100.0,9.0,9.0,False
geo3-az-realjun-folgada,cnemesis,100.0,2.0,2.0,False
geo3-az-realjun-folgada,ffd,100.0,6.0,6.0,False
geo3-az-realjun-folgada,first_fit,100.0,4.0,4.0,False
geo3-az-realjun-folgada,follow_renewables,100.0,3.0,3.0,False
geo3-az-realjun-folgada,followme_s,100.0,1.0,1.0,False
geo3-az-realjun-folgada,lowest_carbon_dc,100.0,8.0,8.0,False
geo3-az-realjun-folgada,round_robin,100.0,11.0,11.0,False
geo3-az-realjun-folgada,worst_fit,100.0,10.0,10.0,False
geo3-az-realjun-folgada,wsnb,100.0,7.0,7.0,False
geo3-go-realjun-folgada,best_fit,100.0,10.0,10.0,False
geo3-go-realjun-folgada,bfd,100.0,9.0,9.0,False
geo3-go-realjun-folgada,cnemesis,99.935,6.0,6.0,False
geo3-go-realjun-folgada,ffd,100.0,5.0,5.0,False
geo3-go-realjun-folgada,first_fit,99.695,7.0,7.0,False
geo3-go-realjun-folgada,follow_renewables,99.925,3.0,3.0,False
geo3-go-realjun-folgada,followme_s,99.715,1.0,1.0,False
geo3-go-realjun-folgada,lowest_carbon_dc,99.71,2.0,2.0,False
geo3-go-realjun-folgada,round_robin,99.02,11.0,11.0,False
geo3-go-realjun-folgada,worst_fit,98.245,8.0,8.0,False
geo3-go-realjun-folgada,wsnb,99.705,4.0,4.0,False
go-anticorr-alta,best_fit,98.48629629629629,9.0,6.0,True
go-anticorr-alta,bfd,91.87592592592593,6.0,10.0,True
go-anticorr-alta,cnemesis,98.62444444444446,3.0,2.0,True
