celula,metrica,algoritmo,media,posto_medio,vencedor
az-em2021-alta,total_gco2,worst_fit,69622.98436789928,10.0,False
az-em2021-alta,total_gco2,wsnb,63625.65940085015,5.0,False
az-em2021-alta,total_kwh,best_fit,144.24698152580717,7.0,False
az-em2021-alta,total_kwh,bfd,145.10754758117437,9.0,False
az-em2021-alta,total_kwh,cnemesis,143.4569807131876,3.0,False
az-em2021-alta,total_kwh,ffd,144.56871460055956,8.0,False
az-em2021-alta,total_kwh,first_fit,144.2254330196693,6.0,False
az-em2021-alta,total_kwh,follow_renewables,141.67776512243762,1.0,True
az-em2021-alta,total_kwh,followme_s,142.73394846658277,2.0,False
az-em2021-alta,total_kwh,lowest_carbon_dc,143.67537957256337,4.0,False
az-em2021-alta,total_kwh,round_robin,159.3189778807632,11.0,False
az-em2021-alta,total_kwh,worst_fit,150.83172954546532,10.0,False
az-em2021-alta,total_kwh,wsnb,143.72235922242402,5.0,False
az-em2021-alta,gco2_por_vm,best_fit,6.978520701468243,7.0,False
az-em2021-alta,gco2_por_vm,bfd,7.068014825325866,9.0,False
az-em2021-alta,gco2_por_vm,cnemesis,6.585830610276268,3.0,False
az-em2021-alta,gco2_por_vm,ffd,6.981689266488907,8.0,False
az-em2021-alta,gco2_por_vm,first_fit,6.907876599441691,6.0,False
az-em2021-alta,gco2_por_vm,follow_renewables,6.467599712789729,1.0,True
az-em2021-alta,gco2_por_vm,followme_s,6.573234123814437,2.0,False
az-em2021-alta,gco2_por_vm,lowest_carbon_dc,6.646894831903488,4.0,False
az-em2021-alta,gco2_por_vm,round_robin,7.629635288933175,11.0,False
az-em2021-alta,gco2_por_vm,worst_fit,7.208979386026387,10.0,False
az-em2021-alta,gco2_por_vm,wsnb,6.659787195160145,5.0,False
az-em2021-folgada,total_gco2,best_fit,23468.63171085179,8.0,False
az-em2021-folgada,total_gco2,bfd,23605.555143461574,9.0,False
az-em2021-folgada,total_gco2,cnemesis,8269.070459107821,4.0,False
az-em2021-folgada,total_gco2,ffd,20544.793378441616,6.0,False
az-em2021-folgada,total_gco2,first_fit,20662.855557453422,7.0,False
az-em2021-folgada,total_gco2,follow_renewables,7899.887023194775,2.0,False
az-em2021-folgada,total_gco2,followme_s,7438.544965528716,1.0,True
az-em2021-folgada,total_gco2,lowest_carbon_dc,8317.872300461024,5.0,False
az-em2021-folgada,total_gco2,round_robin,60698.951847766526,11.0,False
az-em2021-folgada,total_gco2,worst_fit,28108.733526818734,10.0,False
az-em2021-folgada,total_gco2,wsnb,8234.620932805434,3.0,False
az-em2021-folgada,total_kwh,best_fit,45.226224498907854,7.0,False
az-em2021-folgada,total_kwh,bfd,47.46244301485055,9.0,False
az-em2021-folgada,total_kwh,cnemesis,40.47954338833569,2.0,False
az-em2021-folgada,total_kwh,ffd,46.316375360317934,8.0,False
az-em2021-folgada,total_kwh,first_fit,44.85287134346774,6.0,False
az-em2021-folgada,total_kwh,follow_renewables,42.49251662108547,3.0,False
az-em2021-folgada,total_kwh,followme_s,39.61879906257635,1.0,True
az-em2021-folgada,total_kwh,lowest_carbon_dc,42.97352862108339,5.0,False
az-em2021-folgada,total_kwh,round_robin,131.70635401233807,11.0,False
az-em2021-folgada,total_kwh,worst_fit,61.25013071388287,10.0,False
az-em2021-folgada,total_kwh,wsnb,42.71704877339421,4.0,False
az-em2021-folgada,gco2_por_vm,best_fit,11.734315855425894,8.0,False
az-em2021-folgada,gco2_por_vm,bfd,11.802777571730788,9.0,False
az-em2021-folgada,gco2_por_vm,cnemesis,4.13453522955391,4.0,False
az-em2021-folgada,gco2_por_vm,ffd,10.272396689220807,6.0,False
az-em2021-folgada,gco2_por_vm,first_fit,10.33142777872671,7.0,False
az-em2021-folgada,gco2_por_vm,follow_renewables,3.949943511597387,2.0,False
az-em2021-folgada,gco2_por_vm,followme_s,3.7192724827643575,1.0,True
az-em2021-folgada,gco2_por_vm,lowest_carbon_dc,4.15893615023051,5.0,False
az-em2021-folgada,gco2_por_vm,round_robin,30.34947592388326,11.0,False
az-em2021-folgada,gco2_por_vm,worst_fit,14.054366763409366,10.0,False
az-em2021-folgada,gco2_por_vm,wsnb,4.117310466402716,3.0,False
az-flat-alta,total_gco2,best_fit,68571.89107494985,4.0,False
az-flat-alta,total_gco2,bfd,68907.45120168895,9.0,False
az-flat-alta,total_gco2,cnemesis,67487.50304957581,1.0,True
az-flat-alta,total_gco2,ffd,68649.26532476117,8.0,False
az-flat-alta,total_gco2,first_fit,68530.71157282995,3.0,False
az-flat-alta,total_gco2,follow_renewables,68593.86753662648,6.0,False
az-flat-alta,total_gco2,followme_s,68180.92568415968,2.0,False
az-flat-alta,total_gco2,lowest_carbon_dc,68593.86753662648,6.0,False
az-flat-alta,total_gco2,round_robin,75715.00973119843,11.0,False
az-flat-alta,total_gco2,worst_fit,71609.03241624887,10.0,False
az-flat-alta,total_gco2,wsnb,68593.86753662648,6.0,False
az-flat-alta,total_kwh,best_fit,144.36187594725268,4.0,False
az-flat-alta,total_kwh,bfd,145.06831831933778,9.0,False
az-flat-alta,total_kwh,cnemesis,142.07895378857162,1.0,True
az-flat-alta,total_kwh,ffd,144.52476910475295,8.0,False
az-flat-alta,total_kwh,first_fit,144.27518225857926,3.0,False
az-flat-alta,total_kwh,follow_renewables,144.40814218236144,6.0,False
az-flat-alta,total_kwh,followme_s,143.53879091401203,2.0,False
az-flat-alta,total_kwh,lowest_carbon_dc,144.40814218236144,6.0,False
az-flat-alta,total_kwh,round_robin,159.40002048672028,11.0,False
az-flat-alta,total_kwh,worst_fit,150.75585771840682,10.0,False
az-flat-alta,total_kwh,wsnb,144.40814218236144,6.0,False
az-flat-alta,gco2_por_vm,best_fit,7.193726106356292,7.0,False
az-flat-alta,gco2_por_vm,bfd,7.278114292730033,9.0,False
az-flat-alta,gco2_por_vm,cnemesis,7.058896151137891,1.0,True
az-flat-alta,gco2_por_vm,ffd,7.237146863439718,8.0,False
az-flat-alta,gco2_por_vm,first_fit,7.167810872623744,3.0,False
az-flat-alta,gco2_por_vm,follow_renewables,7.18171102579512,5.0,False
az-flat-alta,gco2_por_vm,followme_s,7.1177095179796535,2.0,False
az-flat-alta,gco2_por_vm,lowest_carbon_dc,7.18171102579512,5.0,False
az-flat-alta,gco2_por_vm,round_robin,7.852004069861278,11.0,False
az-flat-alta,gco2_por_vm,worst_fit,7.417706349548016,10.0,False
az-flat-alta,gco2_por_vm,wsnb,7.18171102579512,5.0,False
az-flat-folgada,total_gco2,best_fit,21541.747030479026,3.0,False
az-flat-folgada,total_gco2,bfd,22464.69567826337,6.0,False
az-flat-folgada,total_gco2,cnemesis,21574.817808524705,4.0,False
az-flat-folgada,total_gco2,ffd,21982.68410584969,5.0,False
az-flat-folgada,total_gco2,first_fit,21336.90503551969,2.0,False
az-flat-folgada,total_gco2,follow_renewables,22909.16186988176,8.0,False
az-flat-folgada,total_gco2,followme_s,21082.11548118105,1.0,True
az-flat-folgada,total_gco2,lowest_carbon_dc,22909.16186988176,8.0,False
az-flat-folgada,total_gco2,round_robin,62652.10496678292,11.0,False
az-flat-folgada,total_gco2,worst_fit,29246.493736066896,10.0,False
az-flat-folgada,total_gco2,wsnb,22909.16186988176,8.0,False
az-flat-folgada,total_kwh,best_fit,45.35104637995434,3.0,False
az-flat-folgada,total_kwh,bfd,47.29409616476342,6.0,False
az-flat-folgada,total_kwh,cnemesis,45.42066907057558,4.0,False
az-flat-folgada,total_kwh,ffd,46.27933495967997,5.0,False
az-flat-folgada,total_kwh,first_fit,44.919800074774656,2.0,False
az-flat-folgada,total_kwh,follow_renewables,48.22981446290517,8.0,False
az-flat-folgada,total_kwh,followme_s,44.38340101301033,1.0,True
az-flat-folgada,total_kwh,lowest_carbon_dc,48.22981446290517,8.0,False
az-flat-folgada,total_kwh,round_robin,131.8991683511138,11.0,False
az-flat-folgada,total_kwh,worst_fit,61.571565760142114,10.0,False
az-flat-folgada,total_kwh,wsnb,48.22981446290517,8.0,False
az-flat-folgada,gco2_por_vm,best_fit,10.770873515239519,3.0,False
az-flat-folgada,gco2_por_vm,bfd,11.232347839131684,6.0,False
az-flat-folgada,gco2_por_vm,cnemesis,10.787408904262353,4.0,False
az-flat-folgada,gco2_por_vm,ffd,10.991342052924846,5.0,False
az-flat-folgada,gco2_por_vm,first_fit,10.668452517759837,2.0,False
az-flat-folgada,gco2_por_vm,follow_renewables,11.454580934940882,8.0,False
az-flat-folgada,gco2_por_vm,followme_s,10.541057740590526,1.0,True
az-flat-folgada,gco2_por_vm,lowest_carbon_dc,11.454580934940882,8.0,False
az-flat-folgada,gco2_por_vm,round_robin,31.326052483391457,11.0,False
az-flat-folgada,gco2_por_vm,worst_fit,14.62324686803345,10.0,False
az-flat-folgada,gco2_por_vm,wsnb,11.454580934940882,8.0,False
az-realjan-alta,total_gco2,best_fit,64861.45340098076,8.0,False
az-realjan-alta,total_gco2,bfd,65153.78477414806,9.0,False
az-realjan-alta,total_gco2,cnemesis,60405.75283766492,3.0,False
az-realjan-alta,total_gco2,ffd,63479.19592045095,6.0,False
az-realjan-alta,total_gco2,first_fit,63529.90441490204,7.0,False
az-realjan-alta,total_gco2,follow_renewables,57076.94767505791,1.0,True
az-realjan-alta,total_gco2,followme_s,60041.75224319645,2.0,False
az-realjan-alta,total_gco2,lowest_carbon_dc,60512.66914617041,4.0,False
az-realjan-alta,total_gco2,round_robin,73079.97289238227,11.0,False
az-realjan-alta,total_gco2,worst_fit,68673.78171325829,10.0,False
az-realjan-alta,total_gco2,wsnb,60543.64884915357,5.0,False
az-realjan-alta,total_kwh,best_fit,144.36187594725268,7.0,False
az-realjan-alta,total_kwh,bfd,145.06831831933778,9.0,False
az-realjan-alta,total_kwh,cnemesis,143.54537776724388,3.0,False
az-realjan-alta,total_kwh,ffd,144.52476910475295,8.0,False
az-realjan-alta,total_kwh,first_fit,144.27518225857926,6.0,False
az-realjan-alta,total_kwh,follow_renewables,138.83275048258665,1.0,True
az-realjan-alta,total_kwh,followme_s,142.78696617871097,2.0,False
az-realjan-alta,total_kwh,lowest_carbon_dc,143.66685542416107,4.0,False
