celula,metrica,alg_i,alg_j,n_seeds,media_i,media_j,dif_media,dif_pct,dif_mediana,todas_dif_nulas,classe,p_bruto,r_rank_biserial,p_holm55,significativo
az-anticorr-alta,total_gco2,best_fit,bfd,30,52885.46138647305,53243.60252195082,-358.1411354777876,-0.6726463246549409,-384.3713475432305,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,best_fit,cnemesis,30,52885.46138647305,48664.03525895125,4221.426127521784,8.674632313285809,4229.383587420285,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,best_fit,ffd,30,52885.46138647305,52891.73254178553,-6.271155312490737,-0.011856588943340811,11.250653884781059,False,contraste,0.8871948085725307,-0.03225806451612903,0.8871948085725307,False
az-anticorr-alta,total_gco2,best_fit,first_fit,30,52885.46138647305,52847.748235157225,37.713151315812624,0.07136188877527948,55.08931349525665,False,contraste,0.13473508320748806,0.3161290322580645,0.2694701664149761,False
az-anticorr-alta,total_gco2,best_fit,follow_renewables,30,52885.46138647305,43230.60697632542,9654.85441014762,22.333376941561227,9665.616390446201,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,best_fit,followme_s,30,52885.46138647305,48475.96910911208,4409.492277360961,9.096243681969227,4427.470499230276,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,best_fit,lowest_carbon_dc,30,52885.46138647305,48892.10513126448,3993.35625520855,8.167691377753673,3985.8780856777994,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,best_fit,round_robin,30,52885.46138647305,57961.67689287796,-5076.215506404908,-8.757882412178189,-5032.503062712094,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,best_fit,worst_fit,30,52885.46138647305,55226.00865260796,-2340.5472661349277,-4.238124976327434,-2303.5343277235697,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,best_fit,wsnb,30,52885.46138647305,49022.96746482879,3862.4939216442444,7.878947606375248,3846.7628257673277,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,bfd,cnemesis,30,53243.60252195082,48664.03525895125,4579.5672629995715,9.410578548677192,4586.277336017105,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,bfd,ffd,30,53243.60252195082,52891.73254178553,351.86998016529685,0.6652646136847805,338.7919847457706,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,bfd,first_fit,30,53243.60252195082,52847.748235157225,395.85428679360024,0.7490466481791485,436.0136330112837,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,bfd,follow_renewables,30,53243.60252195082,43230.60697632542,10012.995545625407,23.161820399858993,10046.874468663245,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,bfd,followme_s,30,53243.60252195082,48475.96910911208,4767.63341283875,9.835045075855065,4763.061136984346,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,bfd,lowest_carbon_dc,30,53243.60252195082,48892.10513126448,4351.497390686339,8.900204601547697,4344.136973529054,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,bfd,round_robin,30,53243.60252195082,57961.67689287796,-4718.074370927122,-8.139989427232834,-4711.222938131024,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,bfd,worst_fit,30,53243.60252195082,55226.00865260796,-1982.4061306571396,-3.589624126427836,-1973.6677624416989,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,bfd,wsnb,30,53243.60252195082,49022.96746482879,4220.635057122032,8.609505453030968,4207.949981887596,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
az-anticorr-alta,total_gco2,cnemesis,ffd,30,48664.03525895125,52891.73254178553,-4227.697282834275,-7.993115520453616,-4242.797428113532,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
