celula	algoritmo	seed	migracao	cenario	inicio	fim	parede_s	cpu_usuario_s	cpu_sistema_s	pico_memoria_kb	codigo_saida	tentativas	trabalhador_pid	sha256_binario
geo3-az-realjun-folgada	best_fit	42	none	configs/scenarios/fase3/geo3_azure_realjun_folgada.yaml	2026-08-07T08:47:31-03:00	2026-08-07T08:47:32-03:00	1.22	1.10	0.11	66520	0	1	78637	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
geo3-az-realjun-folgada	best_fit	43	none	configs/scenarios/fase3/geo3_azure_realjun_folgada.yaml	2026-08-07T08:47:31-03:00	2026-08-07T08:47:33-03:00	1.17	1.05	0.12	64744	0	1	78650	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
geo3-az-realjun-folgada	best_fit	44	none	configs/scenarios/fase3/geo3_azure_realjun_folgada.yaml	2026-08-07T08:47:32-03:00	2026-08-07T08:47:34-03:00	1.14	1.02	0.11	66240	0	1	78683	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
geo3-az-realjun-folgada	best_fit	45	none	configs/scenarios/fase3/geo3_azure_realjun_folgada.yaml	2026-08-07T08:47:33-03:00	2026-08-07T08:47:34-03:00	1.33	1.19	0.11	64268	0	1	78707	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
geo3-az-realjun-folgada	best_fit	46	none	configs/scenarios/fase3/geo3_azure_realjun_folgada.yaml	2026-08-07T08:47:33-03:00	2026-08-07T08:47:34-03:00	1.38	1.23	0.12	64320	0	1	78720	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
geo3-az-realjun-folgada	best_fit	47	none	configs/scenarios/fase3/geo3_azure_realjun_folgada.yaml	2026-08-07T08:47:33-03:00	2026-08-07T08:47:35-03:00	1.41	1.19	0.12	64552	0	1	78739	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
geo3-az-realjun-folgada	best_fit	48	none	configs/scenarios/fase3/geo3_azure_realjun_folgada.yaml	2026-08-07T08:47:34-03:00	2026-08-07T08:47:35-03:00	1.15	1.02	0.10	65392	0	1	78774	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
geo3-az-realjun-folgada	best_fit	49	none	configs/scenarios/fase3/geo3_azure_realjun_folgada.yaml	2026-08-07T08:47:34-03:00	2026-08-07T08:47:35-03:00	1.42	1.29	0.11	65332	0	1	78787	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
geo3-az-realjun-folgada	best_fit	50	none	configs/scenarios/fase3/geo3_azure_realjun_folgada.yaml	2026-08-07T08:47:34-03:00	2026-08-07T08:47:36-03:00	1.46	1.31	0.13	66396	0	1	78810	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
geo3-az-realjun-folgada	best_fit	51	none	configs/scenarios/fase3/geo3_azure_realjun_folgada.yaml	2026-08-07T08:47:35-03:00	2026-08-07T08:47:36-03:00	1.20	1.05	0.13	67156	0	1	78844	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
