celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us
geo3-az-realjun-folgada,ffd,45,305e2b27726305e196eea090fabc312280b39e1f,46.23139509077215,13833.961902105431,0,0.0,134.85,0,0,998
geo3-az-realjun-folgada,ffd,46,305e2b27726305e196eea090fabc312280b39e1f,45.634648720947865,13592.287938318952,0,0.0,134.77916666666667,0,0,938
geo3-az-realjun-folgada,ffd,47,305e2b27726305e196eea090fabc312280b39e1f,45.094237432277296,13482.977685454802,0,0.0,133.07083333333333,0,0,909
geo3-az-realjun-folgada,ffd,48,305e2b27726305e196eea090fabc312280b39e1f,45.87599300963898,13738.616982657673,0,0.0,132.8,0,0,743
geo3-az-realjun-folgada,ffd,49,305e2b27726305e196eea090fabc312280b39e1f,45.172514723900676,13434.606186376404,0,0.0,133.55416666666667,0,0,1022
geo3-az-realjun-folgada,ffd,50,305e2b27726305e196eea090fabc312280b39e1f,45.30807129852409,13579.002255333748,0,0.0,132.875,0,0,864
geo3-az-realjun-folgada,ffd,51,305e2b27726305e196eea090fabc312280b39e1f,45.804286871415776,13738.441979808289,0,0.0,134.88333333333333,0,0,1013
geo3-az-realjun-folgada,first_fit,42,305e2b27726305e196eea090fabc312280b39e1f,43.94535678992132,12920.794178344577,0,0.0,131.0375,0,0,466
geo3-az-realjun-folgada,first_fit,43,305e2b27726305e196eea090fabc312280b39e1f,43.14268025223168,12552.722846238179,0,0.0,130.6,0,0,490
geo3-az-realjun-folgada,first_fit,44,305e2b27726305e196eea090fabc312280b39e1f,43.215004518927714,12654.976356380792,0,0.0,130.07916666666668,0,0,440
geo3-az-realjun-folgada,first_fit,45,305e2b27726305e196eea090fabc312280b39e1f,44.20228188567633,13050.269588054722,0,0.0,133.6,0,0,606
geo3-az-realjun-folgada,first_fit,46,305e2b27726305e196eea090fabc312280b39e1f,43.78029507623053,12855.577915094935,0,0.0,131.49166666666667,0,0,532
geo3-az-realjun-folgada,first_fit,47,305e2b27726305e196eea090fabc312280b39e1f,43.869311405361806,12956.59405565621,0,0.0,132.07916666666668,0,0,593
geo3-az-realjun-folgada,first_fit,48,305e2b27726305e196eea090fabc312280b39e1f,44.581187613318434,13181.196108774491,0,0.0,134.16666666666666,0,0,584
geo3-az-realjun-folgada,first_fit,49,305e2b27726305e196eea090fabc312280b39e1f,43.17535458290068,12535.17255704815,0,0.0,131.34166666666667,0,0,413
geo3-az-realjun-folgada,first_fit,50,305e2b27726305e196eea090fabc312280b39e1f,43.100113905611934,12553.326407184613,0,0.0,130.49583333333334,0,0,453
geo3-az-realjun-folgada,first_fit,51,305e2b27726305e196eea090fabc312280b39e1f,44.1753796073585,12959.311334216347,0,0.0,134.95416666666668,0,0,566
geo3-az-realjun-folgada,follow_renewables,42,305e2b27726305e196eea090fabc312280b39e1f,43.875389457673734,12892.7697220897,878,5975540.201530457,89.24166666666666,1044,0,8069
geo3-az-realjun-folgada,follow_renewables,43,305e2b27726305e196eea090fabc312280b39e1f,43.06335087854457,12529.539044629699,906,6204847.310968399,83.275,1076,0,7468
geo3-az-realjun-folgada,follow_renewables,44,305e2b27726305e196eea090fabc312280b39e1f,42.77802942379034,12382.357929101292,869,6100314.898029327,84.275,212,0,7442
geo3-az-realjun-folgada,follow_renewables,45,305e2b27726305e196eea090fabc312280b39e1f,44.36119446364897,13041.406726883875,886,6180114.150867462,87.25416666666666,1399,0,7545
geo3-az-realjun-folgada,follow_renewables,46,305e2b27726305e196eea090fabc312280b39e1f,43.90309386391401,12839.60584020475,861,5986813.504375458,84.22083333333333,879,0,7105
geo3-az-realjun-folgada,follow_renewables,47,305e2b27726305e196eea090fabc312280b39e1f,44.274589717442765,12997.38796106623,890,6238464.877999306,85.825,1700,0,6344
geo3-az-realjun-folgada,follow_renewables,48,305e2b27726305e196eea090fabc312280b39e1f,43.820361230950674,12909.251023699235,876,6174717.487803459,84.3625,1566,0,6992
geo3-az-realjun-folgada,follow_renewables,49,305e2b27726305e196eea090fabc312280b39e1f,44.1194465676016,12937.349305934395,904,6333294.358194351,83.30833333333334,819,0,7412
geo3-az-realjun-folgada,follow_renewables,50,305e2b27726305e196eea090fabc312280b39e1f,43.41431613537666,12647.656546945323,851,5867221.880800247,87.75833333333334,363,0,6883
geo3-az-realjun-folgada,follow_renewables,51,305e2b27726305e196eea090fabc312280b39e1f,43.53983976709543,12777.151967120604,872,5973114.63054657,85.4625,1523,0,6392
geo3-az-realjun-folgada,followme_s,42,305e2b27726305e196eea090fabc312280b39e1f,43.050112789316714,12890.352400297894,872,7198903.41199398,124.3125,704,0,27202
geo3-az-realjun-folgada,followme_s,43,305e2b27726305e196eea090fabc312280b39e1f,40.996860731806294,12175.638326182998,987,8130826.745157242,122.54166666666667,685,0,26771
geo3-az-realjun-folgada,followme_s,44,305e2b27726305e196eea090fabc312280b39e1f,41.50401775373673,12209.503730025779,914,7538429.057649612,120.59166666666667,0,0,26559
geo3-az-realjun-folgada,followme_s,45,305e2b27726305e196eea090fabc312280b39e1f,42.27326363008309,12506.750684724384,872,7183993.821022034,122.02083333333333,883,0,27404
geo3-az-realjun-folgada,followme_s,46,305e2b27726305e196eea090fabc312280b39e1f,41.68805760589054,12351.757151509395,952,7869777.5780181885,122.8,815,0,28037
geo3-az-realjun-folgada,followme_s,47,305e2b27726305e196eea090fabc312280b39e1f,41.926783878328585,12424.793608939832,888,7330806.564806938,120.71666666666667,761,0,28300
geo3-az-realjun-folgada,followme_s,48,305e2b27726305e196eea090fabc312280b39e1f,41.508016229460566,12189.935136205277,952,7850039.779704094,120.97083333333333,1529,0,26285
geo3-az-realjun-folgada,followme_s,49,305e2b27726305e196eea090fabc312280b39e1f,42.85839656650022,12836.307007385672,1030,8511766.171996117,125.62083333333334,0,0,27527
geo3-az-realjun-folgada,followme_s,50,305e2b27726305e196eea090fabc312280b39e1f,43.24319238538358,12769.893429516018,946,7793515.636713982,125.8625,285,0,27451
geo3-az-realjun-folgada,followme_s,51,305e2b27726305e196eea090fabc312280b39e1f,41.937487267103876,12152.840864845253,981,8080856.079909325,123.325,548,0,23746
geo3-az-realjun-folgada,lowest_carbon_dc,42,305e2b27726305e196eea090fabc312280b39e1f,46.36735445767074,14059.328815321984,0,0.0,134.9875,0,0,1608
geo3-az-realjun-folgada,lowest_carbon_dc,43,305e2b27726305e196eea090fabc312280b39e1f,45.55570379520847,13729.630172032888,0,0.0,134.82916666666668,0,0,1891
geo3-az-realjun-folgada,lowest_carbon_dc,44,305e2b27726305e196eea090fabc312280b39e1f,45.601368590453475,13619.85858667486,0,0.0,133.475,0,0,1831
geo3-az-realjun-folgada,lowest_carbon_dc,45,305e2b27726305e196eea090fabc312280b39e1f,46.1804215469794,14060.947531828555,0,0.0,135.25416666666666,0,0,1347
geo3-az-realjun-folgada,lowest_carbon_dc,46,305e2b27726305e196eea090fabc312280b39e1f,45.71363219724478,13817.800126153876,0,0.0,135.15,0,0,1579
geo3-az-realjun-folgada,lowest_carbon_dc,47,305e2b27726305e196eea090fabc312280b39e1f,45.809514717440095,13930.413308281848,0,0.0,134.54166666666666,0,0,1576
geo3-az-realjun-folgada,lowest_carbon_dc,48,305e2b27726305e196eea090fabc312280b39e1f,45.862987480947545,13912.513131885353,0,0.0,134.05,0,0,1378
geo3-az-realjun-folgada,lowest_carbon_dc,49,305e2b27726305e196eea090fabc312280b39e1f,45.1916919842656,13735.235954845644,0,0.0,132.2875,0,0,1344
geo3-az-realjun-folgada,lowest_carbon_dc,50,305e2b27726305e196eea090fabc312280b39e1f,45.32279030204033,13633.505835669312,0,0.0,133.40833333333333,0,0,1671
geo3-az-realjun-folgada,lowest_carbon_dc,51,305e2b27726305e196eea090fabc312280b39e1f,46.0847743504258,13862.239153840159,0,0.0,135.85416666666666,0,0,1861
geo3-az-realjun-folgada,round_robin,42,305e2b27726305e196eea090fabc312280b39e1f,51.09630823538791,15901.580509759111,0,0.0,140.5375,0,0,504
geo3-az-realjun-folgada,round_robin,43,305e2b27726305e196eea090fabc312280b39e1f,51.225088772877726,16051.166674691442,0,0.0,140.975,0,0,307
geo3-az-realjun-folgada,round_robin,44,305e2b27726305e196eea090fabc312280b39e1f,51.32054318515918,15985.92198388237,0,0.0,141.82083333333333,0,0,501
geo3-az-realjun-folgada,round_robin,45,305e2b27726305e196eea090fabc312280b39e1f,51.09294186336301,15911.464227284792,0,0.0,142.3,0,0,515
geo3-az-realjun-folgada,round_robin,46,305e2b27726305e196eea090fabc312280b39e1f,50.80064764978859,15770.016682830203,0,0.0,140.61666666666667,0,0,517
geo3-az-realjun-folgada,round_robin,47,305e2b27726305e196eea090fabc312280b39e1f,50.519194386473345,15649.404973647044,0,0.0,140.27083333333334,0,0,225
geo3-az-realjun-folgada,round_robin,48,305e2b27726305e196eea090fabc312280b39e1f,50.96374505367673,15839.148526820645,0,0.0,140.89166666666668,0,0,458
geo3-az-realjun-folgada,round_robin,49,305e2b27726305e196eea090fabc312280b39e1f,50.543876616832364,15673.845062445424,0,0.0,141.6125,0,0,195
geo3-az-realjun-folgada,round_robin,50,305e2b27726305e196eea090fabc312280b39e1f,50.962304567858176,15818.290466906956,0,0.0,141.60416666666666,0,0,544
geo3-az-realjun-folgada,round_robin,51,305e2b27726305e196eea090fabc312280b39e1f,51.31290489388978,16002.037682681763,0,0.0,141.92916666666667,0,0,360
geo3-az-realjun-folgada,worst_fit,42,305e2b27726305e196eea090fabc312280b39e1f,49.74713776502401,15636.23988781101,0,0.0,135.91666666666666,0,0,1001
geo3-az-realjun-folgada,worst_fit,43,305e2b27726305e196eea090fabc312280b39e1f,48.926160099512735,15306.563656221415,0,0.0,132.575,0,0,768
geo3-az-realjun-folgada,worst_fit,44,305e2b27726305e196eea090fabc312280b39e1f,49.053966106120946,15245.57839658653,0,0.0,131.68333333333334,0,0,591
geo3-az-realjun-folgada,worst_fit,45,305e2b27726305e196eea090fabc312280b39e1f,49.04862165754027,15415.07438244795,0,0.0,134.47916666666666,0,0,914
geo3-az-realjun-folgada,worst_fit,46,305e2b27726305e196eea090fabc312280b39e1f,49.248487119030905,15482.201311140998,0,0.0,134.89166666666668,0,0,890
geo3-az-realjun-folgada,worst_fit,47,305e2b27726305e196eea090fabc312280b39e1f,48.32925769715756,15163.34411220486,0,0.0,132.2125,0,0,896
geo3-az-realjun-folgada,worst_fit,48,305e2b27726305e196eea090fabc312280b39e1f,49.51770243436616,15640.792019792683,0,0.0,133.52083333333334,0,0,871
geo3-az-realjun-folgada,worst_fit,49,305e2b27726305e196eea090fabc312280b39e1f,49.02038311504823,15325.774133602565,0,0.0,133.5375,0,0,619
geo3-az-realjun-folgada,worst_fit,50,305e2b27726305e196eea090fabc312280b39e1f,49.28444730963795,15399.83074738305,0,0.0,135.1,0,0,992
geo3-az-realjun-folgada,worst_fit,51,305e2b27726305e196eea090fabc312280b39e1f,49.828966497265554,15665.743290036386,0,0.0,137.53333333333333,0,0,982
geo3-az-realjun-folgada,wsnb,42,305e2b27726305e196eea090fabc312280b39e1f,45.91425515803727,14037.668926108305,0,0.0,133.92916666666667,0,0,1140
geo3-az-realjun-folgada,wsnb,43,305e2b27726305e196eea090fabc312280b39e1f,45.481067137191516,13720.03496803944,0,0.0,134.0125,0,0,1087
geo3-az-realjun-folgada,wsnb,44,305e2b27726305e196eea090fabc312280b39e1f,45.40944780699989,13543.571196299905,0,0.0,135.52083333333334,0,0,1189
geo3-az-realjun-folgada,wsnb,45,305e2b27726305e196eea090fabc312280b39e1f,45.5360406210914,13798.94686564882,0,0.0,134.575,0,0,933
geo3-az-realjun-folgada,wsnb,46,305e2b27726305e196eea090fabc312280b39e1f,44.63374777626976,13374.876221387454,0,0.0,133.32916666666668,0,0,995
geo3-az-realjun-folgada,wsnb,47,305e2b27726305e196eea090fabc312280b39e1f,45.21084865774455,13775.780839252571,0,0.0,134.87916666666666,0,0,1060
geo3-az-realjun-folgada,wsnb,48,305e2b27726305e196eea090fabc312280b39e1f,45.78915666847182,13804.273107081473,0,0.0,133.29583333333332,0,0,843
geo3-az-realjun-folgada,wsnb,49,305e2b27726305e196eea090fabc312280b39e1f,44.63513227193157,13648.302259278265,0,0.0,131.24166666666667,0,0,918
geo3-az-realjun-folgada,wsnb,50,305e2b27726305e196eea090fabc312280b39e1f,44.77319259654088,13556.90946360251,0,0.0,132.20416666666668,0,0,983
geo3-az-realjun-folgada,wsnb,51,305e2b27726305e196eea090fabc312280b39e1f,45.367457700836844,13690.436224075804,0,0.0,133.80416666666667,0,0,865
geo3-go-realjun-folgada,best_fit,42,305e2b27726305e196eea090fabc312280b39e1f,38.208680041512764,11621.992063123405,0,0.0,117.05,0,0,959
