celula	decisions_jsonl	metrics_cientificas	resultado
net100-az-realjun-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
net100-go-realjun-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
net100-az-anticorr-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
net100-az-realjun-alta	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
geo3-az-realjun-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
geo3-go-realjun-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
hetcap-az-realjun-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
hetcap-az-anticorr-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
pue-az-realjun-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
pue-go-realjun-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
