celula,algoritmo,seed,git_sha,sha256_binario,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us
az-anticorr-alta,cnemesis,47,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.47482487182003,48557.860295028644,460,5601048.058959961,396.7916666666667,13173,437,215516
az-anticorr-alta,cnemesis,48,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.58768956244955,48798.9571746865,460,5811713.101311684,397.475,12320,302,224868
az-anticorr-alta,cnemesis,49,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.40021436060644,48618.26488811724,460,5713626.378298759,396.68333333333334,12969,352,207180
az-anticorr-alta,cnemesis,50,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.33007659508834,48639.63373024358,460,5790847.28968811,395.5375,15282,439,233038
az-anticorr-alta,cnemesis,51,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.15094601638967,48499.73674749318,460,5519716.131357193,396.1375,11238,388,222215
az-anticorr-alta,ffd,42,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.4242100298983,52808.76147582828,0,0.0,396.52916666666664,0,577,12981
az-anticorr-alta,ffd,43,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.5591160384445,52921.73953409444,0,0.0,398.5083333333333,0,409,9246
az-anticorr-alta,ffd,44,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.780731055785,52908.23887317084,0,0.0,398.0375,0,519,9829
az-anticorr-alta,ffd,45,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.61066348147074,52914.354443614066,0,0.0,397.80833333333334,0,618,11815
az-anticorr-alta,ffd,46,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.8233222887908,52922.08092393421,0,0.0,399.2875,0,514,11474
az-anticorr-alta,ffd,47,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.5969279356623,52866.642598245046,0,0.0,398.3125,0,593,12840
az-anticorr-alta,ffd,48,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.90191833220206,53016.137013233216,0,0.0,398.47083333333336,0,447,10333
az-anticorr-alta,ffd,49,305e2b27726305e196eea090fabc312280b39e1f,36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d,144.52600101777574,52908.47775075903,0,0.0,397.69166666666666,0,478,9322
